nconst,primaryName,First Name,Last Name,birthYear,deathYear,primaryProfession,knownForTitles,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race
nm2334994,Landon Liboiron,Landon,Liboiron,\N,\N,"actor,director,writer","tt2309295,tt4686698,tt0288937,tt7026488",0.000916252,0.0013770715,0.0009474796,0.010051502,5.6696907e-05,0.039708994,0.0008526971,0.0047639087,0.92286384,0.0011414728,0.003297463,0.011113119,0.0029095346,"GreaterEuropean,WestEuropean,French"
nm0747114,Maxim Roy,Maxim,Roy,1972,\N,"actress,producer,director","tt8826128,tt6215208,tt6423364,tt4145054",0.010311219,0.0015633219,0.023099322,0.0025735104,0.02228973,0.08402708,0.5480368,0.088815205,0.09645876,0.07681646,0.023113282,0.015493405,0.0074019656,"GreaterEuropean,EastEuropean"
nm8171074,Matthew Riley,Matthew,Riley,\N,\N,"actor,miscellaneous,cinematographer","tt7369550,tt8239736,tt5720450,tt7479192",0.0019493025,0.0005333866,0.0018167894,0.0014941995,0.00032830733,0.9355069,0.00060200045,0.013900011,0.030731346,0.0008194693,0.0062783756,0.0050908457,0.00094904844,"GreaterEuropean,British"
nm3746649,John Palladino,John,Palladino,\N,\N,"actor,miscellaneous","tt2372162,tt3726704,tt1442462,tt3949660",0.0016034485,0.0012807895,0.004516054,0.014801993,0.0007714516,0.11198974,0.0040413043,0.0053512393,0.022148289,0.002281328,0.005185469,0.82509226,0.0009366994,"GreaterEuropean,WestEuropean,Italian"
nm0000224,Alicia Silverstone,Alicia,Silverstone,1976,\N,"actress,producer,soundtrack","tt0119086,tt0112697,tt0118688,tt0124298",0.0047233873,0.003933047,0.00046933026,0.0033921576,0.0019695829,0.5784078,0.0077965735,0.0367423,0.062382776,0.0036411425,0.0758885,0.21641688,0.004236543,"GreaterEuropean,British"
nm2628935,Kerry Bishé,Kerry,Bishé,1984,\N,"actress,soundtrack","tt0873886,tt5246700,tt1000774,tt1024648",0.002408728,0.0024592972,7.02311e-05,0.11258043,0.0016675218,0.07283416,0.00036690783,0.004694866,0.7970099,0.0020082,0.0012878706,0.002356206,0.00025567363,"GreaterEuropean,WestEuropean,French"
nm0749263,Mark Ruffalo,Mark,Ruffalo,1967,\N,"actor,producer,soundtrack","tt1895587,tt1100089,tt0848228,tt0842926",0.0006008836,0.00094975857,0.002748763,0.09241863,0.0048228167,0.34695888,0.008685016,0.089876145,0.029150635,0.0031735343,0.028746856,0.39067352,0.0011945259,"GreaterEuropean,WestEuropean,Italian"
nm2275042,Jacob Kogan,Jacob,Kogan,1995,\N,"actor,assistant_director,soundtrack","tt2660734,tt0808331,tt1299729,tt0796366",0.00093116023,0.0010356713,0.0028068116,0.013142547,0.017625418,0.04336965,0.049908224,0.82853836,0.010767466,0.011442725,0.002882385,0.011151052,0.0063984897,"GreaterEuropean,Jewish"
nm0859197,Marcus Thomas,Marcus,Thomas,\N,\N,actor,"tt3758814,tt0186045,tt1416801,tt0796375",0.0045580645,0.008610174,0.0011252757,0.0015484397,0.00041163486,0.686426,0.0022675453,0.027303703,0.04044429,0.038656283,0.023724379,0.12105693,0.043867372,"GreaterEuropean,British"
nm0301370,M.C. Gainey,M.C.,Gainey,1948,\N,"actor,producer","tt0486946,tt0377818,tt0331953,tt0118880",0.0006109174,0.00021628405,0.69042563,0.002050653,0.004701406,0.28389072,0.0003693857,0.005357745,0.0050630146,4.8414247e-05,0.0061568986,0.0010707363,3.819851e-05,"Asian,IndianSubContinent"
nm0348800,Annabelle Gurwitch,Annabelle,Gurwitch,1961,\N,"actress,writer,producer","tt4998632,tt0115798,tt0119715,tt0323633",0.0048194546,0.0018022474,0.007875485,0.004431554,0.002069894,0.8830154,0.0019369046,0.029529108,0.038917594,0.0014289843,0.01833017,0.004244715,0.0015986278,"GreaterEuropean,British"
