budget,genres,id,imdb_id,title,production_companies,production_countries,release_date,revenue,runtime,spoken_languages
0,"Comedy, Drama, Romance",5951,tt0866437,The Jane Austen Book Club,"{Mockingbird Pictures}, {John Calley Productions}",US,2007-09-09,0,106,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Horror, Thriller",15667,tt0454864,The Last Winter,"{Glass Eye Pix}, {Zik Zak Kvikmyndir}, {Antidote Films}, {Coproducción USA-Islandia}","IS, US",2006-09-11,0,101,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Romance",13066,tt0391229,I Want Someone to Eat Cheese With,,US,2006-01-01,0,80,[]
15000000,"Comedy, Drama",17202,tt0906108,Why Did I Get Married?,{Lions Gate Films},US,2007-10-12,55184721,113,"[{'iso_639_1': 'en', 'name': 'English'}]"
10000000,"Horror, Thriller, Crime",663,tt0890870,Saw IV,"{Lions Gate Films}, {Twisted Pictures}",US,2007-10-25,139352633,93,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Action, Comedy, Romance",9262,tt0780534,My Mom's New Boyfriend,{3L Productions},US,2008-04-30,0,97,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Family, Drama",29362,tt0446752,Full of It,{New Line Cinema},"IT, ZA, US",2007-03-01,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Comedy, Drama",5718,tt0388182,King of California,"{Nu Image Films}, {Michael London Productions}, {Millennium Films}, {Emmett/Furla Films}, {King of California Productions}, {Lone Star Film Group}",US,2007-01-24,1027699,93,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]"
0,Drama,5126,tt0415965,Martian Child,{New Line Cinema},US,2007-11-02,0,106,"[{'iso_639_1': 'en', 'name': 'English'}]"
0,"Horror, Action",16126,tt0780583,Flight of the Living Dead: Outbreak on a Plane,{Pacific Entertainment Group},US,2007-04-06,0,89,"[{'iso_639_1': 'en', 'name': 'English'}]"
